CustomerID,CustomerName,Segment
LS-172304,Lycoris Saunders,Consumer
MV-174854,Mark Van Huff,Consumer
CS-121304,Chad Sievert,Consumer
AP-109154,Arthur Prichep,Consumer
JF-154904,Jeremy Farry,Consumer
WB-218504,William Brown,Consumer
JA-159704,Joseph Airdo,Consumer
SP-209204,Susan Pistek,Consumer
RL-196154,Rob Lucas,Consumer
KD-163454,Katherine Ducich,Consumer
JM-161954,Justin MacKendrick,Consumer
RD-195854,Rob Dowd,Consumer
AB-101654,Alan Barnes,Consumer
AR-105404,Andy Reiter,Consumer
LH-171554,Logan Haushalter,Consumer
AR-105104,Andrew Roberts,Consumer
NG-184304,Nathan Gelder,Consumer
DP-130004,Darren Powers,Consumer
TS-213404,Toby Swindell,Consumer
KM-167204,Kunst Miller,Consumer
AI-108554,Arianne Irving,Consumer
CL-125654,Clay Ludtke,Consumer
SW-202454,Scot Wooten,Consumer
CC-122204,Chris Cortes,Consumer
LC-171404,Logan Currie,Consumer
JF-152954,Jason Fortune-,Consumer
JO-152804,Jas O'Carroll,Consumer
TB-216254,Trudy Brown,Consumer
TT-210704,Ted Trevino,Consumer
DO-134354,Denny Ordway,Consumer
LS-172454,Lynn Smith,Consumer
OT-187304,Olvera Toch,Consumer
BD-113204,Bill Donatelli,Consumer
MV-181904,Mike Vittorini,Consumer
GT-147554,Guy Thornton,Consumer
CC-123704,Christopher Conant,Consumer
JM-155804,Jill Matthias,Consumer
PS-187604,Pamela Stobb,Consumer
CC-124754,Cindy Chapman,Consumer
JE-157454,Joel Eaton,Consumer
XP-218654,Xylona Preis,Consumer
SO-203354,Sean O'Donnell,Consumer
CK-125954,Clytie Kelty,Consumer
LL-168404,Lauren Leatherbury,Consumer
DD-135704,Dorothy Dickinson,Consumer
DV-134654,Dianna Vittorini,Consumer
CC-126704,Craig Carreira,Consumer
TT-212204,Thomas Thornton,Consumer
TB-215204,Tracy Blumstein,Consumer
KT-164804,Kean Thornton,Consumer
LC-170504,Liz Carlisle,Consumer
JM-158654,John Murray,Consumer
DB-136604,Duane Benoit,Consumer
GA-147254,Guy Armstrong,Consumer
EP-139154,Emily Phan,Consumer
CC-125504,Clay Cheatham,Consumer
SR-207404,Steven Roelle,Home Office
AY-105554,Andy Yotov,Corporate
AH-100304,Aaron Hawkins,Corporate
VF-217154,Vicky Freymann,Home Office
JM-152654,Janet Molinari,Corporate
GG-146504,Greg Guthrie,Corporate
PL-189254,Paul Lucas,Home Office
MA-175604,Matt Abelman,Home Office
MC-181304,Mike Caudle,Corporate
AM-103604,Alice McCarthy,Corporate
BP-110954,Bart Pistole,Corporate
DE-132554,Deanra Eno,Home Office
AJ-107804,Anthony Jacobs,Corporate
CG-120404,Catherine Glotzbach,Home Office
MO-178004,Meg O'Connel,Home Office
RW-195404,Rick Wilson,Corporate
YC-218954,Yoseph Carroll,Corporate
SN-207104,Steve Nguyen,Home Office
DB-129703,Darren Budd,Corporate
SM-203204,Sean Miller,Home Office
SC-200504,Sample Company A,Home Office
SM-209504,Suzanne McNair,Corporate
RD-198104,Ross DeVincentis,Home Office
KF-162854,Karen Ferguson,Home Office
RS-194204,Ricardo Sperren,Corporate
NL-183104,Nancy Lomonaco,Home Office
RB-197954,Ross Baird,Home Office
AH-100754,Adam Hart,Corporate
SC-202304,Scot Coram,Corporate
JS-156854,Jim Sink,Corporate
LA-167804,Laura Armstrong,Corporate
CW-119054,Carl Weiss,Home Office
TH-212354,Tiffany House,Corporate
AP-107204,Anne Pryor,Home Office
HG-149654,Henry Goldwyn,Corporate
GK-146204,Grace Kelly,Corporate
BT-115304,Bradley Talbott,Home Office
NS-186404,Noel Staavos,Corporate
SS-201404,Saphhira Shifley,Corporate
RS-197654,Roland Schwarz,Corporate
CS-122504,Chris Selesnick,Corporate
RB-194654,Rick Bensley,Home Office
FH-142754,Frank Hawley,Corporate
JL-158354,John Lee,Consumer
MH-172904,Marc Harrigan,Home Office
BH-117104,Brosina Hoffman,Consumer
FM-142154,Filia McAdams,Corporate
AR-108254,Anthony Rawles,Corporate
AB-102554,Alejandro Ballentine,Home Office
TC-215354,Tracy Collins,Home Office
RB-194354,Richard Bierner,Consumer
FP-143204,Frank Preis,Consumer
MC-178454,Michael Chen,Consumer
AZ-107504,Annie Zypern,Consumer
PC-190004,Pauline Chand,Home Office
GB-145304,George Bell,Corporate
SN-205604,Skye Norling,Home Office
FC-142454,Frank Carlisle,Home Office
PG-188954,Paul Gonzalez,Consumer
PW-190304,Pauline Webber,Corporate
TS-214304,Tom Stivers,Corporate
LR-169154,Lena Radford,Consumer
CS-119504,Carlos Soltero,Consumer
TB-212504,Tim Brockman,Consumer
MS-173654,Maribeth Schnelling,Consumer
FH-143654,Fred Hopkins,Corporate
TT-214604,Tonja Turnell,Home Office
ED-138854,Emily Ducich,Home Office
SP-208604,Sung Pak,Corporate
BP-110504,Barry Pond,Corporate
TB-214004,Tom Boeckenhauer,Consumer
EA-140354,Erin Ashbrook,Corporate
BW-112004,Ben Wallace,Consumer
SC-208004,Stuart Calhoun,Consumer
DP-131054,Dave Poirier,Corporate
SC-205754,Sonia Cooley,Consumer
RW-196904,Robert Waldorf,Consumer
ZC-219104,Zuschuss Carroll,Consumer
JE-157154,Joe Elijah,Consumer
AT-104354,Alyssa Tate,Home Office
BN-115154,Bradley Nguyen,Consumer
PO-188654,Patrick O'Donnell,Consumer
PS-189704,Paul Stevenson,Home Office
BB-109904,Barry Blumstein,Corporate
TS-213704,Todd Sumrall,Corporate
SS-204104,Shahid Shariari,Consumer
JD-161504,Justin Deggeller,Corporate
SC-200954,Sanjit Chand,Consumer
JB-159254,Joni Blumstein,Consumer
CD-127904,Cynthia Delaney,Home Office
MM-182804,Muhammed MacIntyre,Corporate
CS-124004,Christopher Schild,Home Office
CM-121904,Charlotte Melton,Consumer
HM-148604,Harry Marie,Corporate
KD-162704,Karen Daniels,Consumer
MC-175754,Matt Collins,Consumer
MC-176354,Matthew Clasen,Corporate
DV-130454,Darrin Van Huff,Corporate
LB-167354,Larry Blacks,Consumer
PF-192254,Phillip Flathmann,Consumer
EM-140954,Eudokia Martin,Corporate
JP-161354,Julie Prescott,Home Office
CV-128054,Cynthia Voltz,Corporate
JK-153254,Jason Klamczynski,Corporate
SC-207254,Steven Cartwright,Consumer
MT-180704,Michelle Tran,Home Office
ZD-219254,Zuschuss Donatelli,Consumer
GA-145154,George Ashbrook,Consumer
JB-160004,Joy Bell-,Consumer
BM-115754,Brendan Murry,Corporate
GH-144104,Gary Hansen,Home Office
BF-111704,Ben Ferrer,Home Office
BT-113954,Bill Tyler,Corporate
LS-169454,Linda Southworth,Corporate
HG-150254,Hunter Glantz,Consumer
SB-201854,Sarah Brown,Consumer
CC-121454,Charles Crestani,Consumer
AM-107054,Anne McFarland,Consumer
YS-218804,Yana Sorensen,Corporate
AG-109004,Arthur Gainer,Consumer
AH-106904,Anna Häberlin,Corporate
JH-159104,Jonathan Howell,Consumer
SB-201704,Sarah Bern,Consumer
KD-166154,Ken Dana,Corporate
KN-163904,Katherine Nockton,Corporate
RA-192854,Ralph Arnett,Consumer
KD-164954,Keith Dawkins,Corporate
PV-189854,Paul Van Hugh,Home Office
KE-164204,Katrina Edelman,Corporate
MA-179954,Michelle Arnett,Home Office
JC-161054,Julie Creighton,Corporate
AB-106004,Ann Blume,Corporate
TT-212654,Tim Taslimi,Corporate
CB-120254,Cassandra Brandow,Consumer
SC-204404,Shaun Chance,Corporate
RP-198554,Roy Phan,Corporate
RM-196754,Robert Marley,Home Office
KT-164654,Kean Takahito,Consumer
JB-154004,Jennifer Braxton,Corporate
TZ-215804,Tracy Zic,Consumer
BF-110054,Barry Franz,Home Office
AS-102404,Alan Shonely,Consumer
RA-198854,Ruben Ausman,Corporate
KM-166604,Khloe Miller,Consumer
CA-120554,Cathy Armstrong,Home Office
EH-137654,Edward Hooks,Corporate
JD-158954,Jonathan Doherty,Corporate
MC-176054,Matt Connell,Corporate
GM-144404,Gary McGarr,Consumer
GZ-145454,George Zrebassa,Corporate
AT-107354,Annie Thurman,Consumer
KB-162404,Karen Bern,Corporate
CS-125054,Cindy Stewart,Consumer
MC-181004,Mick Crebagga,Consumer
BD-116054,Brian Dahlen,Consumer
CA-122654,Christina Anderson,Consumer
DK-128354,Damala Kotsonis,Corporate
AA-103154,Alex Avila,Consumer
PK-189104,Paul Knutson,Home Office
CM-124454,Chuck Magee,Consumer
DS-130304,Darrin Sayre,Home Office
ME-180104,Michelle Ellison,Corporate
NP-183254,Naresj Patel,Consumer
NC-185354,Nick Crebassa,Corporate
KL-166454,Ken Lonsdale,Consumer
SS-205904,Sonia Sunley,Consumer
VP-217604,Victoria Pisteka,Corporate
DP-133904,Dennis Pardue,Home Office
JK-156404,Jim Kriz,Home Office
ES-140204,Erica Smith,Consumer
HF-149954,Herbert Flentye,Consumer
JD-160604,Julia Dunbar,Consumer
SJ-205004,Shirley Jackson,Consumer
DN-136904,Duane Noonan,Consumer
RP-192704,Rachel Payne,Corporate
SH-203954,Shahid Hopkins,Consumer
JP-155204,Jeremy Pistek,Consumer
SC-202604,Scott Cohen,Corporate
TS-212054,Thomas Seio,Corporate
DH-136754,Duane Huffman,Home Office
SG-204704,Sheri Gordon,Consumer
AH-102104,Alan Hwang,Consumer
AJ-107954,Anthony Johnson,Corporate
JL-151754,James Lanier,Home Office
KB-165854,Ken Black,Corporate
PO-188504,Patrick O'Brill,Consumer
LC-168704,Lena Cacioppo,Consumer
HA-149204,Helen Andreada,Consumer
DS-131804,David Smith,Corporate
DB-131204,David Bremer,Corporate
RH-195104,Rick Huthwaite,Home Office
NB-186554,Nona Balk,Corporate
AJ-109454,Ashley Jarboe,Consumer
AF-108704,Art Ferguson,Consumer
MT-178154,Meg Tillman,Consumer
TS-211604,Theresa Swint,Corporate
DK-132254,Dean Katz,Corporate
BT-116804,Brian Thompson,Consumer
EB-139304,Eric Barreto,Consumer
RD-199004,Ruben Dartt,Consumer
AA-106454,Anna Andreadi,Consumer
RB-193604,Raymond Buch,Consumer
DL-134954,Dionis Lloyd,Corporate
BC-111254,Becky Castell,Home Office
RW-196304,Rob Williams,Corporate
PK-190754,Pete Kriz,Consumer
SZ-200354,Sam Zeldin,Home Office
CC-124304,Chuck Clark,Home Office
GM-146954,Greg Maxwell,Corporate
JW-160754,Julia West,Consumer
PC-187454,Pamela Coakley,Corporate
RO-197804,Rose O'Brian,Consumer
RR-193154,Ralph Ritter,Consumer
HJ-148754,Heather Jas,Home Office
MK-181604,Mike Kennedy,Consumer
DB-136154,Doug Bickford,Consumer
SP-206204,Stefania Perrino,Corporate
CM-123854,Christopher Martinez,Consumer
TM-210104,Tamara Manning,Consumer
CJ-120104,Caroline Jumper,Consumer
VG-217904,Vivek Gonzalez,Consumer
MM-179204,Michael Moore,Consumer
EH-141254,Eugene Hildebrand,Home Office
SH-199754,Sally Hughsby,Corporate
BS-113804,Bill Stewart,Corporate
JO-155504,Jesus Ocampo,Home Office
DJ-135104,Don Jones,Corporate
DK-129854,Darren Koutras,Consumer
MM-180554,Michelle Moray,Consumer
CS-121754,Charles Sheldon,Corporate
MH-176204,Matt Hagelstein,Corporate
EC-140504,Erin Creighton,Consumer
EM-139604,Eric Murdock,Consumer
BD-117254,Bruce Degenhardt,Consumer
JK-153704,Jay Kimmel,Consumer
NP-187004,Nora Preis,Consumer
LR-170354,Lisa Ryan,Corporate
MS-177704,Maxwell Schwartz,Consumer
AG-103004,Aleksandra Gannaway,Corporate
RD-194804,Rick Duston,Consumer
CY-127454,Craig Yedwab,Corporate
BS-117554,Bruce Stewart,Consumer
NK-184904,Neil Knudson,Home Office
FG-142604,Frank Gastineau,Home Office
HH-150104,Hilary Holden,Corporate
JK-152054,Jamie Kunitz,Consumer
FM-142904,Frank Merwin,Home Office
PJ-188354,Patrick Jones,Corporate
PG-188204,Patrick Gardner,Consumer
BD-115004,Bradley Drucker,Consumer
VW-217754,Victoria Wilson,Corporate
KH-165104,Keith Herrera,Consumer
AS-102254,Alan Schoenberger,Corporate
DM-133454,Denise Monton,Corporate
GZ-144704,Gary Zandusky,Consumer
KH-166904,Kristen Hastings,Corporate
NM-184454,Nathan Mautz,Home Office
RD-197204,Roger Demir,Consumer
GR-145604,Georgia Rosenberg,Corporate
SC-206804,Steve Carroll,Home Office
LS-169754,Lindsay Shagiari,Home Office
EH-140054,Erica Hernandez,Home Office
CK-127604,Cyma Kinney,Corporate
NZ-185654,Nick Zandusky,Home Office
DJ-134204,Denny Joy,Corporate
GT-147104,Greg Tran,Consumer
KC-162554,Karen Carlisle,Corporate
DW-135854,Dorothy Wardle,Corporate
AS-102854,Alejandro Savely,Corporate
AH-101204,Adrian Hane,Home Office
AD-101804,Alan Dominguez,Home Office
LW-169904,Lindsay Williams,Corporate
TS-216104,Troy Staebel,Consumer
MP-181754,Mike Pelletier,Home Office
PR-188804,Patrick Ryan,Consumer
EJ-137204,Ed Jacobs,Consumer
DB-132704,Deborah Brumfield,Home Office
MH-177854,Maya Herman,Corporate
TH-211004,Thea Hendricks,Consumer
AS-100904,Adam Shillingsburg,Consumer
BW-111104,Bart Watters,Corporate
BG-117404,Bruce Geld,Consumer
PF-191654,Philip Fox,Consumer
SB-202904,Sean Braxton,Corporate
BS-118004,Bryan Spruell,Home Office
JF-153554,Jay Fein,Consumer
MZ-173354,Maria Zettner,Home Office
JG-158054,John Grady,Corporate
BS-116654,Brian Stugart,Consumer
DK-133754,Dennis Kane,Consumer
MG-178904,Michael Granlund,Home Office
JK-161204,Julie Kriz,Home Office
IG-150854,Ivan Gibson,Consumer
MJ-177404,Max Jones,Consumer
KC-165404,Kelly Collister,Consumer
JW-152204,Jane Waco,Corporate
IM-150704,Irene Maddox,Consumer
KA-165254,Kelly Andreada,Consumer
SW-204554,Shaun Weien,Consumer
AJ-109604,Astrea Jones,Consumer
SW-202754,Scott Williamson,Consumer
TC-212954,Toby Carlisle,Consumer
BT-113054,Beth Thompson,Home Office
GM-146804,Greg Matthias,Consumer
LT-167654,Larry Tron,Consumer
NR-185504,Nick Radford,Consumer
FA-142304,Frank Atkinson,Corporate
SE-201104,Sanjit Engle,Consumer
DF-131354,David Flashing,Consumer
TN-210404,Tanja Norvell,Home Office
LW-168254,Laurel Workman,Corporate
LS-172004,Luke Schmidt,Corporate
MD-173504,Maribeth Dona,Consumer
BK-112604,Berenike Kampe,Consumer
NC-184154,Nathan Cano,Consumer
SP-206504,Stephanie Phelps,Corporate
CS-123554,Christine Sundaresam,Consumer
ON-187154,Odella Nelson,Corporate
RE-194504,Richard Eichhorn,Consumer
RA-199454,Ryan Akin,Consumer
NM-185204,Neoma Murray,Consumer
TG-216404,Trudy Glocke,Consumer
MY-173804,Maribeth Yedwab,Corporate
